assigned_at,receipt_id,original_filename
2026-01-09T18:43:54+00:00,R000001,b.jpeg
2026-01-09T18:44:34+00:00,R000002,b.jpeg
2026-01-09T18:48:37+00:00,R000003,b.jpeg
2026-01-09T18:48:47+00:00,R000004,c.jpeg
2026-01-09T18:48:56+00:00,R000005,d.jpg
2026-01-09T18:49:01+00:00,R000006,R000014.jpg
2026-01-09T19:18:30+00:00,R000007,R000006.jpg
2026-01-09T19:25:40+00:00,R000008,R000011.jpeg
2026-01-09T19:27:35+00:00,R000009,R000008.jpeg
2026-01-09T19:37:00+00:00,R000010,R000002.jpeg
2026-01-09T19:37:13+00:00,R000011,R000003.jpeg
2026-01-09T19:37:21+00:00,R000012,R000004.jpeg
2026-01-09T19:37:30+00:00,R000013,R000005.jpg
2026-01-09T19:37:35+00:00,R000014,R000006.jpeg
2026-01-09T19:37:44+00:00,R000015,R000007.jpg
2026-01-09T19:38:18+00:00,R000016,R000009.jpeg
2026-01-09T19:38:34+00:00,R000017,R000012.jpeg
2026-01-09T19:38:41+00:00,R000018,R000013.jpeg
2026-01-09T19:44:42+00:00,R000019,R000012.jpeg
2026-01-09T19:44:52+00:00,R000020,R000014.jpeg
2026-01-09T19:45:01+00:00,R000021,R000015.jpg
2026-01-09T19:45:32+00:00,R000022,R000016.jpeg
2026-01-09T19:45:54+00:00,R000023,R000017.jpeg
2026-01-10T20:07:16+00:00,R000024,R000010.jpeg
2026-01-10T20:07:34+00:00,R000025,R000013.jpg
2026-01-10T20:07:44+00:00,R000026,R000020.jpeg
2026-01-10T20:07:53+00:00,R000027,R000022.jpeg
2026-01-10T20:08:11+00:00,R000028,R000023.jpeg
2026-01-11T18:16:37+00:00,R000029,R000011.jpeg
2026-01-11T18:18:38+00:00,R000030,R000027.jpeg
2026-01-11T22:17:23+00:00,R000031,R000030.jpeg
2026-01-11T22:20:13+00:00,R000032,R000031.jpeg
2026-01-11T22:38:20+00:00,R000033,R000032.jpeg
2026-01-11T22:40:05+00:00,R000034,R000018.jpeg
2026-01-11T22:40:14+00:00,R000035,R000019.jpeg
2026-01-11T22:40:25+00:00,R000036,R000021.jpg
2026-01-11T22:40:57+00:00,R000037,R000024.jpeg
2026-01-11T22:41:11+00:00,R000038,R000025.jpg
2026-01-11T22:47:57+00:00,R000039,R000026.jpeg
2026-01-11T22:48:09+00:00,R000040,R000028.jpeg
2026-01-11T22:48:17+00:00,R000041,R000029.jpeg
2026-01-11T22:48:29+00:00,R000042,R000033.jpeg
2026-01-11T22:48:44+00:00,R000043,R000034.jpeg
2026-01-11T22:48:52+00:00,R000044,R000035.jpeg
2026-01-11T22:49:02+00:00,R000045,R000036.jpg
2026-01-11T22:49:29+00:00,R000046,R000037.jpeg
2026-01-11T22:49:45+00:00,R000047,R000038.jpg
2026-01-12T13:35:10+00:00,R000048,R000039.jpeg
2026-01-12T13:35:21+00:00,R000049,R000040.jpeg
2026-01-12T13:35:28+00:00,R000050,R000041.jpeg
2026-01-12T13:35:37+00:00,R000051,R000042.jpeg
2026-01-12T13:57:52+00:00,R000052,R000043.jpeg
2026-01-12T13:58:01+00:00,R000053,R000044.jpeg
2026-01-12T13:58:07+00:00,R000054,R000045.jpg
2026-01-12T13:58:46+00:00,R000055,R000047.jpg
2026-01-12T13:58:57+00:00,R000056,R000048.jpeg
2026-01-12T14:36:12+00:00,R000057,R000052.jpeg
2026-01-12T14:36:21+00:00,R000058,R000053.jpeg
2026-01-12T14:36:30+00:00,R000059,R000054.jpg
2026-01-12T14:36:57+00:00,R000060,R000055.jpg
2026-01-12T14:37:07+00:00,R000061,R000056.jpeg
